username,date,signal
KOFETH,2020-07-17 13:57:44,0
KOFETH,2020-07-17 12:41:39,0
KOFETH,2020-07-17 12:39:46,0
KOFETH,2020-07-17 11:43:13,0
KOFETH,2020-07-17 08:03:09,0
KOFETH,2020-07-17 07:05:26,0
KOFETH,2020-07-16 07:11:04,0
KOFETH,2020-07-16 07:05:11,0
KOFETH,2020-07-15 07:46:49,0
KOFETH,2020-07-15 06:45:16,0
KOFETH,2020-07-15 06:40:09,0
KOFETH,2020-07-14 09:07:29,0
KOFETH,2020-07-14 06:54:29,0
KOFETH,2020-07-13 06:29:58,0
KOFETH,2020-07-10 12:06:00,0
KOFETH,2020-07-10 06:31:37,0
KOFETH,2020-07-09 06:15:09,0
KOFETH,2020-07-08 09:44:34,0
KOFETH,2020-07-08 08:03:07,0
KOFETH,2020-07-07 09:59:50,0
KOFETH,2020-07-07 06:28:13,0
KOFETH,2020-07-03 07:18:33,0
KOFETH,2020-07-03 07:18:14,0
KOFETH,2020-07-03 07:08:11,0
KOFETH,2020-07-03 07:04:17,0
KOFETH,2020-07-03 06:45:45,0
KOFETH,2020-07-02 13:45:51,0
KOFETH,2020-07-02 08:54:23,0
KOFETH,2020-07-01 13:11:01,0
KOFETH,2020-07-01 09:06:31,0
KOFETH,2020-07-01 09:06:00,0
KOFETH,2020-07-01 07:05:17,0
KOFETH,2020-06-30 07:06:24,0
KOFETH,2020-06-30 07:03:32,0
KOFETH,2020-06-30 05:54:02,0
KOFETH,2020-06-30 05:48:55,0
KOFETH,2020-06-29 09:11:40,0
KOFETH,2020-06-29 08:07:32,0
KOFETH,2020-06-29 06:31:49,0
KOFETH,2020-06-29 06:31:18,0
KOFETH,2020-06-25 12:22:58,0
KOFETH,2020-06-25 09:18:07,0
KOFETH,2020-06-24 07:02:35,0
KOFETH,2020-06-23 08:01:58,0
KOFETH,2020-06-23 07:46:59,0
KOFETH,2020-06-22 15:17:48,0
KOFETH,2020-06-19 09:01:38,0
KOFETH,2020-06-19 08:23:23,0
KOFETH,2020-06-19 07:41:49,0
KOFETH,2020-06-17 07:34:53,0
KOFETH,2020-06-16 11:44:56,0
KOFETH,2020-06-16 09:42:06,0
KOFETH,2020-06-16 09:32:33,0
KOFETH,2020-06-16 09:19:04,0
KOFETH,2020-06-16 09:19:04,0
KOFETH,2020-06-16 09:19:03,0
KOFETH,2020-06-16 09:11:41,0
KOFETH,2020-06-15 07:28:36,0
KOFETH,2020-06-12 10:27:55,0
KOFETH,2020-06-11 06:26:40,0
KOFETH,2020-06-10 15:35:48,0
KOFETH,2020-06-10 12:17:18,0
KOFETH,2020-06-10 08:45:14,0
KOFETH,2020-06-10 07:40:37,0
KOFETH,2020-06-10 06:46:15,0
KOFETH,2020-06-09 15:04:03,0
KOFETH,2020-06-09 08:51:02,0
KOFETH,2020-06-09 06:44:56,0
KOFETH,2020-06-08 15:22:22,0
KOFETH,2020-06-08 12:36:57,0
KOFETH,2020-06-08 07:40:07,0
KOFETH,2020-06-08 07:37:59,0
KOFETH,2020-06-08 07:36:04,0
KOFETH,2020-06-08 07:35:27,0
KOFETH,2020-06-08 06:45:23,0
KOFETH,2020-06-05 12:31:56,0
KOFETH,2020-06-05 07:08:15,0
KOFETH,2020-06-05 07:05:52,0
KOFETH,2020-06-05 06:58:01,0
KOFETH,2020-06-04 07:53:31,0
KOFETH,2020-06-04 07:45:32,0
KOFETH,2020-06-03 06:33:12,0
KOFETH,2020-06-02 12:33:35,0
KOFETH,2020-06-02 11:57:03,0
KOFETH,2020-06-02 07:43:16,0
KOFETH,2020-06-02 06:24:56,0
KOFETH,2020-06-02 06:24:34,0
KOFETH,2020-05-29 14:05:04,0
KOFETH,2020-05-29 07:24:52,0
KOFETH,2020-05-29 07:21:17,0
KOFETH,2020-05-29 07:08:01,0
KOFETH,2020-05-29 07:04:24,0
KOFETH,2020-05-28 08:11:35,0
KOFETH,2020-05-28 08:10:31,0
KOFETH,2020-05-27 14:00:04,0
KOFETH,2020-05-27 13:58:37,0
KOFETH,2020-05-27 09:56:14,0
KOFETH,2020-05-27 06:01:30,0
KOFETH,2020-05-26 15:37:46,0
KOFETH,2020-05-26 10:10:59,0
KOFETH,2020-05-26 10:08:30,0
KOFETH,2020-05-26 06:25:55,0
KOFETH,2020-05-25 11:08:10,0
KOFETH,2020-05-22 12:24:56,0
KOFETH,2020-05-22 12:06:44,0
KOFETH,2020-05-21 19:44:08,0
KOFETH,2020-05-20 12:12:46,0
KOFETH,2020-05-20 06:33:54,0
KOFETH,2020-05-19 20:17:15,0
KOFETH,2020-05-19 12:26:54,0
KOFETH,2020-05-19 12:22:51,0
KOFETH,2020-05-19 09:25:25,0
KOFETH,2020-05-18 12:21:42,0
KOFETH,2020-05-18 07:09:20,0
KOFETH,2020-05-18 06:53:50,0
KOFETH,2020-05-18 06:46:06,0
KOFETH,2020-05-18 06:36:08,0
KOFETH,2020-05-18 06:28:25,0
KOFETH,2020-05-17 08:32:02,0
KOFETH,2020-05-17 07:45:59,0
KOFETH,2020-05-17 07:16:39,0
KOFETH,2020-05-17 07:12:42,0
KOFETH,2020-05-15 15:31:40,0
KOFETH,2020-05-15 15:31:23,0
KOFETH,2020-05-15 08:00:58,0
KOFETH,2020-05-15 07:07:13,0
KOFETH,2020-05-15 07:05:31,0
KOFETH,2020-05-15 07:04:36,0
KOFETH,2020-05-15 07:03:51,0
KOFETH,2020-05-15 07:02:21,0
KOFETH,2020-05-14 10:01:03,0
KOFETH,2020-05-14 07:28:16,0
KOFETH,2020-05-13 13:11:39,0
KOFETH,2020-05-13 13:10:44,0
KOFETH,2020-05-13 13:10:09,0
KOFETH,2020-05-13 13:04:29,0
KOFETH,2020-05-13 06:19:44,0
KOFETH,2020-05-12 09:03:27,0
KOFETH,2020-05-12 06:36:04,0
KOFETH,2020-05-11 12:48:55,0
KOFETH,2020-05-11 12:44:02,0
KOFETH,2020-05-11 06:42:28,0
KOFETH,2020-05-08 12:06:14,0
KOFETH,2020-05-08 09:41:32,0
KOFETH,2020-05-08 07:05:01,0
KOFETH,2020-05-08 07:02:20,0
KOFETH,2020-05-08 06:41:31,0
KOFETH,2020-05-07 14:02:58,0
KOFETH,2020-05-07 07:32:41,0
KOFETH,2020-05-06 07:23:54,0
KOFETH,2020-05-06 07:05:17,0
KOFETH,2020-05-05 08:53:44,0
KOFETH,2020-05-05 08:31:37,0
KOFETH,2020-05-05 08:28:51,0
KOFETH,2020-05-05 07:16:31,0
KOFETH,2020-05-05 06:14:45,0
KOFETH,2020-05-04 16:21:20,0
KOFETH,2020-05-04 16:18:25,0
KOFETH,2020-05-04 16:13:27,0
KOFETH,2020-05-04 13:39:03,0
KOFETH,2020-05-04 13:38:57,0
KOFETH,2020-05-04 11:18:28,0
KOFETH,2020-05-04 07:07:07,0
KOFETH,2020-05-04 07:05:01,0
KOFETH,2020-05-04 06:29:28,0
KOFETH,2020-05-03 10:13:14,0
KOFETH,2020-05-03 08:51:35,0
KOFETH,2020-05-01 13:19:01,0
KOFETH,2020-05-01 07:49:04,0
KOFETH,2020-04-30 07:06:46,0
KOFETH,2020-04-30 07:01:54,0
KOFETH,2020-04-30 06:21:37,0
KOFETH,2020-04-29 09:28:46,0
KOFETH,2020-04-29 06:28:31,0
KOFETH,2020-04-28 14:28:44,0
KOFETH,2020-04-28 08:23:29,0
KOFETH,2020-04-28 08:16:15,0
KOFETH,2020-04-28 06:23:47,0
KOFETH,2020-04-27 10:27:13,0
KOFETH,2020-04-27 07:45:05,0
KOFETH,2020-04-27 06:50:23,0
KOFETH,2020-04-23 19:49:08,0
KOFETH,2020-04-23 12:03:52,0
KOFETH,2020-04-23 09:26:30,0
KOFETH,2020-04-22 14:23:26,1
KOFETH,2020-04-22 06:58:13,0
KOFETH,2020-04-21 09:51:42,0
KOFETH,2020-04-21 09:34:18,0
KOFETH,2020-04-21 08:18:20,0
KOFETH,2020-04-20 12:34:59,0
KOFETH,2020-04-20 07:23:16,0
KOFETH,2020-04-20 07:03:55,0
KOFETH,2020-04-20 06:59:24,0
KOFETH,2020-04-17 09:40:14,0
KOFETH,2020-04-17 09:39:35,0
KOFETH,2020-04-17 09:38:20,0
KOFETH,2020-04-17 09:37:33,0
KOFETH,2020-04-17 09:35:01,0
KOFETH,2020-04-17 09:30:10,0
KOFETH,2020-04-17 05:52:42,0
KOFETH,2020-04-16 18:40:04,0
KOFETH,2020-04-16 09:28:32,0
KOFETH,2020-04-15 13:46:23,0
KOFETH,2020-04-15 11:36:41,0
KOFETH,2020-04-15 06:53:12,0
KOFETH,2020-04-15 06:43:32,0
KOFETH,2020-04-14 12:16:23,0
KOFETH,2020-04-14 12:16:05,0
KOFETH,2020-04-14 06:58:19,0
KOFETH,2020-04-14 06:33:54,0
KOFETH,2020-04-11 08:54:56,0
KOFETH,2020-04-11 07:10:02,0
KOFETH,2020-04-11 07:06:48,0
KOFETH,2020-04-11 07:06:44,0
KOFETH,2020-04-09 12:00:32,0
KOFETH,2020-04-09 09:08:26,0
KOFETH,2020-04-09 08:28:12,0
KOFETH,2020-04-09 08:13:14,0
KOFETH,2020-04-08 12:25:30,0
KOFETH,2020-04-08 08:12:56,0
KOFETH,2020-04-08 08:11:48,0
KOFETH,2020-04-08 07:25:42,0
KOFETH,2020-04-08 07:00:34,0
KOFETH,2020-04-08 07:00:31,0
KOFETH,2020-04-07 13:30:46,0
KOFETH,2020-04-07 08:40:19,0
KOFETH,2020-04-07 08:39:20,0
KOFETH,2020-04-07 08:20:20,0
KOFETH,2020-04-07 08:19:27,0
KOFETH,2020-04-06 14:18:33,0
KOFETH,2020-04-06 10:00:13,0
KOFETH,2020-04-03 11:54:10,0
KOFETH,2020-04-03 11:43:14,0
KOFETH,2020-04-03 06:47:29,0
KOFETH,2020-04-02 07:10:53,0
KOFETH,2020-04-02 07:07:45,0
KOFETH,2020-04-02 06:38:00,0
KOFETH,2020-04-01 07:07:43,0
KOFETH,2020-03-31 09:59:16,0
KOFETH,2020-03-31 07:14:35,0
KOFETH,2020-03-31 07:07:51,0
KOFETH,2020-03-31 07:07:19,0
KOFETH,2020-03-30 14:05:49,0
KOFETH,2020-03-30 13:57:54,0
KOFETH,2020-03-30 07:23:54,0
KOFETH,2020-03-30 07:03:46,0
KOFETH,2020-03-30 07:02:06,0
KOFETH,2020-03-27 13:39:46,0
KOFETH,2020-03-27 07:54:03,0
KOFETH,2020-03-26 07:15:10,0
KOFETH,2020-03-25 08:07:18,0
KOFETH,2020-03-25 07:13:54,0
KOFETH,2020-03-23 14:01:45,0
KOFETH,2020-03-23 14:01:39,0
KOFETH,2020-03-23 06:32:15,0
KOFETH,2020-03-20 18:57:42,0
KOFETH,2020-03-20 16:12:05,0
KOFETH,2020-03-20 07:57:38,0
KOFETH,2020-03-19 08:49:53,0
KOFETH,2020-03-19 07:36:26,0
KOFETH,2020-03-18 16:13:42,0
KOFETH,2020-03-18 16:06:37,0
KOFETH,2020-03-18 15:58:44,0
KOFETH,2020-03-18 09:50:25,0
KOFETH,2020-03-18 09:17:46,0
KOFETH,2020-03-18 09:17:26,0
KOFETH,2020-03-18 09:17:00,0
KOFETH,2020-03-18 09:11:14,0
KOFETH,2020-03-18 07:51:04,0
KOFETH,2020-03-18 07:18:28,0
KOFETH,2020-03-18 07:05:41,0
KOFETH,2020-03-18 07:02:35,0
KOFETH,2020-03-17 16:48:48,0
KOFETH,2020-03-17 12:45:56,0
KOFETH,2020-03-17 12:43:36,0
KOFETH,2020-03-16 07:17:28,0
KOFETH,2020-03-13 07:57:27,0
KOFETH,2020-03-12 09:45:31,0
KOFETH,2020-03-11 09:32:05,0
KOFETH,2020-03-11 08:00:08,0
KOFETH,2020-03-10 13:17:04,0
KOFETH,2020-03-10 10:20:30,0
KOFETH,2020-03-09 08:07:07,0
KOFETH,2020-03-09 07:55:17,0
KOFETH,2020-03-06 09:01:46,1
KOFETH,2020-03-06 08:52:53,0
KOFETH,2020-03-06 08:48:43,0
KOFETH,2020-03-06 08:31:57,0
KOFETH,2020-03-05 13:58:38,0
KOFETH,2020-03-04 08:12:46,0
KOFETH,2020-03-04 07:27:10,0
KOFETH,2020-03-03 08:51:24,0
KOFETH,2020-03-02 13:30:37,0
KOFETH,2020-03-02 07:21:45,0
KOFETH,2020-02-28 08:02:45,0
KOFETH,2020-02-28 08:01:58,0
KOFETH,2020-02-28 07:32:16,0
KOFETH,2020-02-26 14:10:39,0
KOFETH,2020-02-26 11:42:44,0
KOFETH,2020-02-26 11:40:54,0
KOFETH,2020-02-26 07:44:27,0
KOFETH,2020-02-25 09:08:30,0
KOFETH,2020-02-25 09:06:52,0
KOFETH,2020-02-24 16:13:28,0
KOFETH,2020-02-24 07:42:52,0
KOFETH,2020-02-21 08:11:13,0
KOFETH,2020-02-19 07:47:39,0
KOFETH,2020-02-17 13:24:01,0
KOFETH,2020-02-17 07:55:19,0
KOFETH,2020-02-13 09:02:27,0
KOFETH,2020-02-13 07:59:12,0
KOFETH,2020-02-13 07:08:16,0
KOFETH,2020-02-11 14:32:26,0
KOFETH,2020-02-11 09:45:44,0
KOFETH,2020-02-10 12:45:33,0
KOFETH,2020-02-10 12:44:32,0
KOFETH,2020-02-10 12:38:01,0
KOFETH,2020-02-10 08:01:53,0
KOFETH,2020-02-07 09:10:11,0
KOFETH,2020-02-07 08:08:23,0
KOFETH,2020-02-07 08:01:52,0
KOFETH,2020-02-07 07:43:37,0
KOFETH,2020-02-06 08:00:36,0
KOFETH,2020-02-05 11:18:13,0
KOFETH,2020-02-05 11:17:28,0
KOFETH,2020-02-05 11:16:33,0
KOFETH,2020-02-05 11:05:05,0
KOFETH,2020-02-05 09:10:11,0
KOFETH,2020-02-05 09:07:10,0
